id,anchor,status,date_created,date_retired,color,grade,area,setter
1,72,1,3/21/2018,,6,28,2,2
2,72,1,3/21/2018,,7,24,2,2
3,72,1,3/21/2018,,4,21,2,2
4,5,1,4/19/2018,,7,26,14,2
5,29,1,4/19/2018,,9,29,16,3
6,29,1,4/11/2018,,7,27,16,2
7,31,1,4/11/2018,,4,32,16,3
8,60,1,4/16/2018,,8,23,12,2
9,61,1,4/16/2018,,7,26,12,4
10,62,1,4/16/2018,,9,30,12,4
11,62,1,4/16/2018,,6,25,12,2
12,59,1,4/16/2018,,10,28,12,3
13,59,1,4/16/2018,,5,22,12,3
14,57,1,4/23/2018,,7,28,12,3
15,58,1,4/18/2018,,2,27,12,3
16,58,1,4/18/2018,,9,21,12,3
17,58,1,4/23/2018,,6,26,12,4
18,19,1,4/13/2018,,6,23,15,4
19,19,1,4/13/2018,,9,26,15,4
20,21,1,4/13/2018,,7,31,16,3
21,16,1,4/13/2018,,2,27,16,3
22,17,1,4/13/2018,,3,25,16,3
23,18,1,4/13/2018,,8,29,16,4
24,18,1,4/13/2018,,10,23,16,4
25,54,1,4/23/2018,,5,21,12,2
26,55,1,4/23/2018,,10,23,12,3
27,56,1,4/23/2018,,3,22,12,3
28,56,1,4/23/2018,,8,28,12,3
29,50,1,2/16/2018,,8,25,13,4
30,51,1,2/16/2018,,7,23,12,3
31,52,1,2/16/2018,,6,22,12,3
32,54,1,4/23/2018,,2,21,12,2
33,46,1,2/19/2018,,4,25,13,3
34,46,1,2/19/2018,,9,23,13,3
35,47,1,2/19/2018,,2,24,13,2
36,48,1,2/19/2018,,5,22,13,4
37,49,1,2/19/2018,,3,31,13,2
38,49,1,2/19/2018,,10,28,13,4
39,43,1,2/20/2018,,10,26,13,3
40,44,1,2/20/2018,,8,25,13,3
41,45,1,2/20/2018,,7,20,13,2
42,45,1,2/20/2018,,6,27,13,2
43,12,1,2/22/2018,,9,20,16,2
44,13,1,2/22/2018,,4,26,16,2
45,14,1,2/22/2018,,7,28,16,3
46,14,1,2/22/2018,,6,21,16,3
47,37,1,2/26/2018,,7,32,14,3
48,37,1,2/26/2018,,10,22,14,4
49,38,1,2/26/2018,,9,24,13,4
50,39,1,2/26/2018,,5,23,13,2
51,40,1,2/26/2018,,2,20,13,3
52,40,1,2/26/2018,,4,25,13,2
53,41,1,2/26/2018,,3,27,13,1
54,8,1,3/1/2018,,7,33,16,3
55,8,1,3/1/2018,,5,30,16,2
56,10,1,3/1/2018,,8,22,16,3
57,11,1,3/1/2018,,3,22,16,2
58,12,1,3/1/2018,,10,28,16,1
59,34,1,3/6/2018,,9,20,14,3
60,34,1,3/6/2018,,8,25,14,3
61,36,1,3/6/2018,,5,26,14,2
62,36,1,3/6/2018,,3,21,14,2
63,7,1,3/7/2018,,2,24,16,2
64,63,1,3/7/2018,,4,33,12,3
65,65,1,3/7/2018,,10,31,13,1
66,1,1,3/12/2018,,2,24,14,1
67,3,1,3/12/2018,,5,28,14,4
68,3,1,3/12/2018,,10,23,14,4
69,4,1,3/12/2018,,8,28,14,1
70,66,1,3/12/2018,,4,29,14,2
71,30,1,3/14/2018,,6,31,16,3
72,31,1,3/14/2018,,9,33,16,1
73,1,1,3/16/2018,,9,26,14,2
74,6,1,3/16/2018,,3,26,16,4
75,28,1,3/16/2018,,5,28,16,3
76,33,1,3/27/2018,,3,24,14,3
77,33,1,3/27/2018,,10,22,14,3
78,27,1,3/28/2018,,4,25,15,3
79,28,1,3/28/2018,,2,25,15,3
80,32,1,3/28/2018,,5,29,14,2
81,68,1,3/29/2018,,7,25,2,2
82,68,1,3/29/2018,,6,24,2,2
83,68,1,3/29/2018,,9,23,2,2
84,69,1,3/29/2018,,4,22,2,2
